benchmark,operation,mata-runtime-0,mata-runtime-1,mona-runtime-0,mona-runtime-1
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_17.mata,projection,1559,60783,303,225
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_217.mata,projection,2513,58682,863,643
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_217.mata,projection,2598,57957,1011,708
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_217.mata,projection,2358,56916,986,656
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_232.mata,projection,2520,68024,844,694
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_232.mata,projection,2570,69036,694,616
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_232.mata,projection,2518,67430,643,640
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_143.mata,projection,5163,70874,2851,2195
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_143.mata,projection,5079,73837,2831,1939
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_143.mata,projection,4945,70760,2575,2333
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_154.mata,projection,4471,95107,2312,1476
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_154.mata,projection,4426,91033,2062,1477
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_154.mata,projection,4225,90802,2196,1441
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_reverse_253.mata,projection,3503,62146,1749,1332
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_reverse_253.mata,projection,3476,63069,1787,1275
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_reverse_253.mata,projection,3459,62012,1240,1003
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_264.mata,projection,3518,70812,1184,978
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_264.mata,projection,3454,70150,1205,952
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-escapeString-smt2_reverse_264.mata,projection,3480,71541,1175,1089
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_148.mata,projection,4926,62380,3094,2089
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_148.mata,projection,4878,63509,1989,1553
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_148.mata,projection,4649,65026,2165,1712
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-trim-smt2_16.mata,projection,82,195,16,7
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-trim-smt2_16.mata,projection,97,189,15,6
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-trim-smt2_16.mata,projection,83,198,17,7
